ship_type,vessel_count,avg_co2_m_tonnes,total_co2_m_tonnes,avg_speed_knots,avg_ais_points
Container ship,62,31503.5,1827204.6,6.63,8.0
Oil tanker,99,9885.3,939103.4,2.36,6.0
Bulk carrier,145,3753.2,506677.3,2.79,6.0
Passenger ship,13,37947.1,493312.0,13.19,11.0
Chemical tanker,77,5049.0,378674.6,3.61,6.0
LNG carrier,12,26278.0,262780.5,7.72,6.0
Vehicle carrier,26,9980.5,219571.2,8.06,8.0
General cargo ship,45,4576.6,196792.0,3.73,7.0
Gas carrier,18,5865.3,105576.2,2.66,6.0
Container/ro-ro cargo ship,3,21567.2,64701.5,8.45,10.0
Refrigerated cargo carrier,6,7601.6,45609.7,7.82,7.0
Other ship types,7,7866.2,39330.8,2.03,6.0
Ro-ro ship,3,5285.4,15856.1,7.77,7.0
