lat_min,lat_max,lon_min,lon_max,lat_c,lon_c,point_count,distinct_vessels,avg_sog,wait_pct,dominant_type
29.5,30.0,-95.5,-95.0,29.75,-95.25,3158,417,0.77,87.5,other
47.5,48.0,-122.5,-122.0,47.75,-122.25,3149,627,0.83,91.6,sailing
29.5,30.0,-90.5,-90.0,29.75,-90.25,2790,281,1.33,78.6,tug/tow
33.5,34.0,-118.5,-118.0,33.75,-118.25,1977,377,1.32,81.4,sailing
40.5,41.0,-74.5,-74.0,40.75,-74.25,1811,207,1.59,83.0,other
29.0,29.5,-95.0,-94.5,29.25,-94.75,1717,214,1.85,75.7,tug/tow
27.5,28.0,-97.5,-97.0,27.75,-97.25,1613,175,1.44,77.1,other
25.5,26.0,-80.5,-80.0,25.75,-80.25,1600,327,0.86,85.1,sailing
37.5,38.0,-122.5,-122.0,37.75,-122.25,1555,286,1.77,84.2,sailing
30.0,30.5,-91.0,-90.5,30.25,-90.75,1453,147,1.17,79.4,tug/tow
32.5,33.0,-117.5,-117.0,32.75,-117.25,1445,298,1.05,88.1,sailing
49.0,49.5,-123.5,-123.0,49.25,-123.25,1435,252,2.15,82.1,other
29.5,30.0,-94.0,-93.5,29.75,-93.75,1317,138,1.71,75.1,tug/tow
29.5,30.0,-90.0,-89.5,29.75,-89.75,1305,143,2.32,73.1,tug/tow
30.0,30.5,-91.5,-91.0,30.25,-91.25,1129,99,1.61,71.4,tug/tow
29.0,29.5,-90.5,-90.0,29.25,-90.25,1059,181,0.67,87.8,cargo
36.5,37.0,-76.5,-76.0,36.75,-76.25,995,152,0.22,97.2,other
29.5,30.0,-91.5,-91.0,29.75,-91.25,974,96,1.28,76.4,tug/tow
48.5,49.0,-123.0,-122.5,48.75,-122.75,950,201,0.92,90.3,sailing
26.0,26.5,-80.5,-80.0,26.25,-80.25,855,224,0.53,93.7,sailing
27.5,28.0,-83.0,-82.5,27.75,-82.75,819,169,1.56,84.9,sailing
48.5,49.0,-123.5,-123.0,48.75,-123.25,794,190,2.02,82.6,sailing
30.0,30.5,-93.5,-93.0,30.25,-93.25,743,78,1.66,66.6,tug/tow
45.5,46.0,-123.0,-122.5,45.75,-122.75,673,123,1.19,83.8,other
40.5,41.0,-74.0,-73.5,40.75,-73.75,624,71,2.98,74.5,passenger
30.0,30.5,-89.0,-88.5,30.25,-88.75,558,71,0.6,86.2,other
21.0,21.5,-158.0,-157.5,21.25,-157.75,548,107,0.53,92.9,fishing
30.5,31.0,-88.5,-88.0,30.75,-88.25,536,62,0.72,82.3,other
35.0,35.5,-90.5,-90.0,35.25,-90.25,528,49,1.51,77.5,tug/tow
47.0,47.5,-122.5,-122.0,47.25,-122.25,515,98,1.41,82.1,sailing
29.5,30.0,-91.0,-90.5,29.75,-90.75,502,64,1.28,75.9,other
47.5,48.0,-123.0,-122.5,47.75,-122.75,502,129,0.26,96.4,sailing
48.0,48.5,-123.5,-123.0,48.25,-123.25,498,87,1.8,84.3,sailing
29.0,29.5,-89.5,-89.0,29.25,-89.25,492,52,2.35,66.9,other
32.5,33.0,-80.0,-79.5,32.75,-79.75,488,86,1.53,79.9,other
38.5,39.0,-90.5,-90.0,38.75,-90.25,477,47,0.34,90.4,tug/tow
39.5,40.0,-75.5,-75.0,39.75,-75.25,456,56,0.91,85.7,other
28.0,28.5,-81.0,-80.5,28.25,-80.75,446,84,0.17,96.6,sailing
29.5,30.0,-95.0,-94.5,29.75,-94.75,441,50,3.59,49.7,other
48.0,48.5,-123.0,-122.5,48.25,-122.75,432,100,1.68,85.6,sailing
49.0,49.5,-123.0,-122.5,49.25,-122.75,398,66,0.35,96.2,other
47.0,47.5,-123.0,-122.5,47.25,-122.75,396,96,0.54,92.4,sailing
18.0,18.5,-65.0,-64.5,18.25,-64.75,391,111,0.55,93.6,sailing
28.5,29.0,-95.5,-95.0,28.75,-95.25,385,43,1.31,70.6,tug/tow
25.0,25.5,-80.5,-80.0,25.25,-80.25,378,81,1.19,90.5,sailing
38.5,39.0,-76.5,-76.0,38.75,-76.25,377,70,1.41,87.8,sailing
30.0,30.5,-94.0,-93.5,30.25,-93.75,367,41,0.73,85.0,tug/tow
38.5,39.0,-75.0,-74.5,38.75,-74.75,365,52,0.9,87.1,fishing
32.0,32.5,-81.5,-81.0,32.25,-81.25,362,56,0.42,93.1,other
