imo_number,ship_name,ship_type,total_co2_emissions,ais_point_count,avg_speed,unique_days_active
9222493,THOR INTEGRITY,Bulk carrier,946.45,4,0.0,1
9257199,SAKARYA,Bulk carrier,528.78,5,0.0,1
9285079,KANG SHUN,Bulk carrier,0.0,3,0.0,1
9291391,THOR MAXIMUS,Bulk carrier,3530.38,5,11.8,1
9317092,BULK FREEDOM,Bulk carrier,3098.53,3,0.0,1
9317119,NEWSEAS AMBER,Bulk carrier,0.0,4,0.0,1
9320996,TIRYANDAFIL,Bulk carrier,3770.12,4,0.0,1
9326275,ZOI XL,Bulk carrier,4291.64,11,10.17,1
9346823,POMORZE,Bulk carrier,5341.74,5,0.0,1
9361237,STAR NASIA,Bulk carrier,0.0,5,0.0,1
9362229,POSEIDON VENTURE,Bulk carrier,6094.41,12,12.24,1
9376309,GEMINI,Bulk carrier,4259.12,13,13.09,1
9394753,MANOUSOS P,Bulk carrier,0.0,4,0.0,1
9396206,YASA UNSAL SUNAR,Bulk carrier,2005.18,5,0.0,1
9406099,CLIPPER TARPON,Bulk carrier,0.0,5,0.0,1
9423786,KURPIE,Bulk carrier,7366.02,5,0.0,1
9425813,AETOLIA,Bulk carrier,3119.48,5,0.0,1
9426245,BULK COLOMBIA,Bulk carrier,1632.67,5,0.0,1
9433664,ERENA,Bulk carrier,,11,9.78,1
9453248,OCEAN KNIGHT,Bulk carrier,5485.99,14,11.39,1
9455650,BREEZE,Bulk carrier,2333.21,4,0.0,1
9455911,CLIPPER CLYDE,Bulk carrier,5773.34,4,0.0,1
9474797,THOR BRAVE,Bulk carrier,5217.92,5,0.04,1
9476939,LUGANO STAR,Bulk carrier,0.0,5,0.06,1
9478585,KEY OHANA,Bulk carrier,2435.02,4,0.0,1
9487627,ATHINA L,Bulk carrier,16254.46,4,0.1,1
9490480,ANGLO JESSICA,Bulk carrier,4293.64,12,1.78,1
9494747,NAVI LYRA,Bulk carrier,2664.0,14,12.42,1
9502740,ANGELS SPIRIT,Bulk carrier,0.0,13,8.9,1
9507893,KNIGHTSHIP,Bulk carrier,8719.19,4,0.0,1
9512331,NBA MAGRITTE,Bulk carrier,4762.31,1,11.5,1
9523201,YUN LONG FENG,Bulk carrier,0.0,5,0.0,1
9527958,AMIRA SAHAR,Bulk carrier,,3,11.3,1
9528158,DK IONE,Bulk carrier,,13,13.25,1
9533347,MANDARIN PHOENIX,Bulk carrier,5038.46,11,12.78,1
9545053,HOPE,Bulk carrier,1627.88,4,0.0,1
9552329,SUPREME VALOR,Bulk carrier,0.0,4,0.08,1
9558244,ATLANTIC ELM,Bulk carrier,5538.71,10,0.4,1
9561801,ARKI,Bulk carrier,2203.18,11,10.62,1
9566813,DART TRADER,Bulk carrier,23.66,6,0.0,1
9580106,UNION GROOVE,Bulk carrier,,4,0.0,1
9583184,AM CONTRECOEUR,Bulk carrier,2375.94,11,11.66,1
9588380,MESHKA,Bulk carrier,1404.83,2,11.6,1
9590826,CAPE XL,Bulk carrier,9457.02,4,0.0,1
9591686,DARYA GAYATRI,Bulk carrier,10.9,4,0.0,1
9593323,MAPLE HARBOUR,Bulk carrier,,3,0.07,1
9593402,PANTHER MAX,Bulk carrier,6353.76,3,0.0,1
9595682,RUI NING 20,Bulk carrier,2338.93,12,8.33,1
9602435,CYMONA PROGRESS,Bulk carrier,0.0,6,0.1,1
9604952,VENUS HORIZON,Bulk carrier,0.0,13,10.5,1
9612296,SAFEEN AL NASR,Bulk carrier,2482.86,4,0.08,1
9614385,CENTURY ROYAL,Bulk carrier,337.33,4,0.0,1
9615121,YUE DIAN 102,Bulk carrier,0.0,1,11.7,1
9615676,SFL KATE,Bulk carrier,4629.9,4,0.0,1
9615743,CLIFTON BAY,Bulk carrier,4288.63,12,10.76,1
9620994,ATLANTIS TRADE,Bulk carrier,1440.11,6,0.0,1
9621405,PAN ENERGEN,Bulk carrier,,4,0.03,1
9623647,DARLEAKAY,Bulk carrier,2694.77,3,0.0,1
9626730,GLOBAL LAGUNA,Bulk carrier,3806.36,5,0.0,1
9636383,KEN BREEZE,Bulk carrier,6358.49,6,0.03,1
9638135,ALDA,Bulk carrier,,5,11.86,1
9641338,OCEANBEAUTY,Bulk carrier,3151.05,5,0.02,1
9660061,CS JADEN,Bulk carrier,4272.67,5,0.0,1
9665700,ID PIONEER,Bulk carrier,1857.7,14,9.14,1
9668910,COOPER ISLAND,Bulk carrier,2020.56,6,0.0,1
9669407,SYMI,Bulk carrier,5276.37,9,0.01,1
9669976,AHSOKA,Bulk carrier,2217.75,5,0.0,1
9671101,FEDERAL CEDAR,Bulk carrier,1330.81,2,0.0,1
9682760,AFRICAN LARK,Bulk carrier,2962.58,12,8.53,1
9682863,BULK POLAND,Bulk carrier,8911.85,5,0.0,1
